pair_number,pair_name,test_number,test_name,target_data_percentage,training_mode,training_time,silhouette_score,davies_bouldin_index,calinski_harabasz,inertia,n_clusters,prediction_time,n_samples,train_samples,test_samples,optimal_k
1,Pair 1: Cleaning & Household → Foodgrains,1,Zero-Shot Transfer,0,transfer_only,0.0,0.36940747775453225,0.9368985943396333,763.8913816510784,1814.6398916251987,3,0.08031010627746582,1200,,,
1,Pair 1: Cleaning & Household → Foodgrains,2,Fine-tune 10%,10,finetune,0.22124314308166504,0.5683136286476929,0.5917291274956319,1639.704824076884,52042618.05655989,3,0.005524396896362305,1080,120.0,1080.0,
1,Pair 1: Cleaning & Household → Foodgrains,3,Fine-tune 20%,20,finetune,0.07719588279724121,0.5937201449722191,0.5559225302181238,1682.6132773766983,196736766.208198,3,0.002007007598876953,960,240.0,960.0,
1,Pair 1: Cleaning & Household → Foodgrains,4,Fine-tune 50%,50,finetune,0.08870124816894531,0.5717900772150754,0.5977217384661774,864.8525428344852,422347809.37544686,3,0.0020072460174560547,600,600.0,600.0,
1,Pair 1: Cleaning & Household → Foodgrains,5,Train from Scratch,100,from_scratch,0.09955739974975586,0.5885100155031394,0.5583274616158566,2120.006521721959,1170374203.5749707,3,0.004015684127807617,1200,,,3.0
2,"Pair 2: Snacks → Kitchen, Garden & Pets",1,Zero-Shot Transfer,0,transfer_only,0.0,0.1926442173534424,0.911697979111625,330.7765688297453,1766.992750363833,3,0.0038726329803466797,1200,,,
2,"Pair 2: Snacks → Kitchen, Garden & Pets",2,Fine-tune 10%,10,finetune,0.06886005401611328,0.594045441709012,0.5706406778177553,2022.7142880815215,418219426.1180239,3,0.005017757415771484,1080,120.0,1080.0,
2,"Pair 2: Snacks → Kitchen, Garden & Pets",3,Fine-tune 20%,20,finetune,0.07172441482543945,0.5835589398831483,0.5580581827276955,1877.6892137496875,737077273.6461855,3,0.0020055770874023438,960,240.0,960.0,
2,"Pair 2: Snacks → Kitchen, Garden & Pets",4,Fine-tune 50%,50,finetune,0.08923506736755371,0.5835130138352818,0.5586947727019237,1235.2868342417091,2229808918.622205,3,0.003179311752319336,600,600.0,600.0,
2,"Pair 2: Snacks → Kitchen, Garden & Pets",5,Train from Scratch,100,from_scratch,0.1368858814239502,0.5910915095504706,0.56190047766611,2383.4889049857557,4227636300.5298314,3,0.013036489486694336,1200,,,3.0
3,Pair 3: Premium → Budget (Whole Dataset),1,Zero-Shot Transfer,0,transfer_only,0.0,0.29327645112989315,0.648876643343235,508.8599068568422,1633.976600081282,3,0.0027327537536621094,1200,,,
3,Pair 3: Premium → Budget (Whole Dataset),2,Fine-tune 10%,10,finetune,0.10465478897094727,0.5330064684439435,0.563683619090941,2722.472259356739,2690492.317515007,3,0.006017208099365234,1080,120.0,1080.0,
3,Pair 3: Premium → Budget (Whole Dataset),3,Fine-tune 20%,20,finetune,0.1397538185119629,0.5406245124600847,0.5503117109234075,2385.71090972904,5824321.3503001435,3,0.010483980178833008,960,240.0,960.0,
3,Pair 3: Premium → Budget (Whole Dataset),4,Fine-tune 50%,50,finetune,0.10568594932556152,0.5483965337200872,0.5471848299275234,1533.9103355702432,14048574.799505379,3,0.007873773574829102,600,600.0,600.0,
3,Pair 3: Premium → Budget (Whole Dataset),5,Train from Scratch,100,from_scratch,0.11457014083862305,0.5391575740595581,0.5585152701806116,3039.635394231586,28159017.041875098,3,0.002992391586303711,1200,,,3.0
4,Pair 4: Premium → Mass-Market Beauty,1,Zero-Shot Transfer,0,transfer_only,0.0,0.4338477231669973,0.9470914587098148,620.0280060437831,1814.3564752482341,2,0.008165597915649414,1200,,,
4,Pair 4: Premium → Mass-Market Beauty,2,Fine-tune 10%,10,finetune,0.10745978355407715,0.5096642654511964,0.5814708045158262,2353.7233595598095,1982616.5022009236,3,0.0057561397552490234,1080,120.0,1080.0,
4,Pair 4: Premium → Mass-Market Beauty,3,Fine-tune 20%,20,finetune,0.10795140266418457,0.522626547555303,0.568455542138083,2285.7768800084814,4460710.670802055,3,0.003009319305419922,960,240.0,960.0,
4,Pair 4: Premium → Mass-Market Beauty,4,Fine-tune 50%,50,finetune,0.10192155838012695,0.5386823329874514,0.5507697213650463,1424.8749297117465,10063151.068146572,3,0.005144834518432617,600,600.0,600.0,
4,Pair 4: Premium → Mass-Market Beauty,5,Train from Scratch,100,from_scratch,0.11601972579956055,0.5421160891298897,0.5499123393140972,2925.890262691579,21025050.89841157,3,0.003509998321533203,1200,,,3.0
5,"Pair 5: Eggs, Meat & Fish → Baby Care",1,Zero-Shot Transfer,0,transfer_only,0.0,0.3093828583496931,0.9723960235401806,707.0146112688739,1689.9236932892823,3,0.00046944618225097656,1200,,,
5,"Pair 5: Eggs, Meat & Fish → Baby Care",2,Fine-tune 10%,10,finetune,0.08082771301269531,0.5924415866484616,0.5131776121212456,2371.89340940751,346290896.5929229,3,0.004001617431640625,1080,120.0,1080.0,
5,"Pair 5: Eggs, Meat & Fish → Baby Care",3,Fine-tune 20%,20,finetune,0.06960272789001465,0.5720002347457246,0.5676078883741543,2192.246372524854,539233250.2338027,3,0.004950761795043945,960,240.0,960.0,
5,"Pair 5: Eggs, Meat & Fish → Baby Care",4,Fine-tune 50%,50,finetune,0.08245992660522461,0.570679891938132,0.5487117547483749,1392.9054165036102,1646770854.3161507,3,0.009235143661499023,600,600.0,600.0,
5,"Pair 5: Eggs, Meat & Fish → Baby Care",5,Train from Scratch,100,from_scratch,0.1068718433380127,0.5743035951273828,0.5533872089958755,2844.853505977691,3408884971.942216,3,0.005558490753173828,1200,,,3.0
6,"Pair 6: Baby Care → Bakery, Cakes & Dairy",1,Zero-Shot Transfer,0,transfer_only,0.0,0.3037956343093312,0.7250146367144822,736.3254835776912,1377.9734747603811,3,0.002122163772583008,1200,,,
6,"Pair 6: Baby Care → Bakery, Cakes & Dairy",2,Fine-tune 10%,10,finetune,0.10600566864013672,0.6079495585368871,0.5611864459970389,2609.4283151078557,36255278.27172782,3,0.006016731262207031,1080,120.0,1080.0,
6,"Pair 6: Baby Care → Bakery, Cakes & Dairy",3,Fine-tune 20%,20,finetune,0.0845940113067627,0.6078852762261792,0.5683864850640079,2266.351794734644,69452745.78751972,3,0.003509521484375,960,240.0,960.0,
6,"Pair 6: Baby Care → Bakery, Cakes & Dairy",4,Fine-tune 50%,50,finetune,0.1132504940032959,0.6010473656314933,0.5648647055562042,1594.9126848636479,219183598.46818775,3,0.006264686584472656,600,600.0,600.0,
6,"Pair 6: Baby Care → Bakery, Cakes & Dairy",5,Train from Scratch,100,from_scratch,0.11370229721069336,0.608880668924661,0.561673611236832,2949.693314956576,421251327.36425436,3,0.0040094852447509766,1200,,,3.0
7,Pair 7: Beverages → Gourmet & World Food,1,Zero-Shot Transfer,0,transfer_only,0.0,0.3486957998248862,0.9236593970842487,690.5625466688331,1728.9426023421993,3,0.0,1200,,,
7,Pair 7: Beverages → Gourmet & World Food,2,Fine-tune 10%,10,finetune,0.10316586494445801,0.5857109883234871,0.5387119327043827,1878.8355973905202,211929435.83914542,3,0.009016275405883789,1080,120.0,1080.0,
7,Pair 7: Beverages → Gourmet & World Food,3,Fine-tune 20%,20,finetune,0.10564279556274414,0.5637570269621562,0.611432801845759,1515.9152427022286,332565810.2246743,3,0.0060155391693115234,960,240.0,960.0,
7,Pair 7: Beverages → Gourmet & World Food,4,Fine-tune 50%,50,finetune,0.11945462226867676,0.582326534398354,0.5820453447883829,1081.106249741022,967732408.8600978,3,0.006018161773681641,600,600.0,600.0,
7,Pair 7: Beverages → Gourmet & World Food,5,Train from Scratch,100,from_scratch,0.1201319694519043,0.5910723526861678,0.542656213995009,2179.578871803751,1991628060.1351666,3,0.0040225982666015625,1200,,,3.0
